# Biographies omitted. Full text in json/rulers.json
id,name,epithet,dynasty,regnal_title,reign_start,reign_end,predecessor,successor,image,wikipedia_en,wikipedia_he
godfrey,Godfrey of Bouillon,Advocatus Sancti Sepulchri,House of Boulogne,Advocate of the Holy Sepulchre,1099,1100,,Baldwin I,Godfrey_of_Bouillon_(cropped).jpg,https://en.wikipedia.org/wiki/Godfrey_of_Bouillon,https://he.wikipedia.org/wiki/%D7%92%D7%95%D7%98%D7%A4%D7%A8%D7%99%D7%93_%D7%9E%D7%91%D7%95%D7%99%D7%95%D7%9F
baldwin-i,Baldwin I,first King of Jerusalem,House of Boulogne,King of Jerusalem,1100,1118,Godfrey of Bouillon,Baldwin II,Baldwin_1_of_Jerusalem.jpg,https://en.wikipedia.org/wiki/Baldwin_I_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%91%D7%9C%D7%93%D7%95%D7%95%D7%99%D7%9F_%D7%94%D7%A8%D7%90%D7%A9%D7%95%D7%9F,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
baldwin-ii,Baldwin II,of Bourcq,House of Rethel,King of Jerusalem,1118,1131,Baldwin I,Melisende & Fulk,Coin_Baldwin2.jpg,https://en.wikipedia.org/wiki/Baldwin_II_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%91%D7%9C%D7%93%D7%95%D7%95%D7%99%D7%9F_%D7%94%D7%A9%D7%A0%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
melisende,Melisende,Queen regnant of Jerusalem,House of Rethel,Queen of Jerusalem,1131,1152,Baldwin II,Baldwin III,Coronation_of_Melisende.jpg,https://en.wikipedia.org/wiki/Melisende%2C_Queen_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%9E%D7%9C%D7%99%D7%A1%D7%A0%D7%93%D7%94,_%D7%9E%D7%9C%D7%9B%D7%AA_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
fulk,Fulk,Fulk V of Anjou,House of Anjou,King of Jerusalem,1131,1143,Baldwin II,Baldwin III,Fulko_jeune.jpg,https://en.wikipedia.org/wiki/Fulk%2C_King_of_Jerusalem,https://he.wikipedia.org/wiki/%D7%A4%D7%95%D7%9C%D7%A7_%D7%9E%D7%90%D7%A0%D7%96%27%D7%95
baldwin-iii,Baldwin III,the first poulain king,House of Anjou,King of Jerusalem,1143,1163,Fulk & Melisende,Amalric I,Baudouin_III_apprenant_la_nouvelle_(cropped).jpg,https://en.wikipedia.org/wiki/Baldwin_III_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%91%D7%9C%D7%93%D7%95%D7%95%D7%99%D7%9F_%D7%94%D7%A9%D7%9C%D7%99%D7%A9%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
amalric-i,Amalric I,the clerkly king,House of Anjou,King of Jerusalem,1163,1174,Baldwin III,Baldwin IV,Amalric_receives_a_message_(cropped).jpg,https://en.wikipedia.org/wiki/Amalric%2C_King_of_Jerusalem,
baldwin-iv,Baldwin IV,the Leper King,House of Anjou,King of Jerusalem,1174,1185,Amalric I,Baldwin V,King_Baldwin_IV.png,https://en.wikipedia.org/wiki/Baldwin_IV_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%91%D7%9C%D7%93%D7%95%D7%95%D7%99%D7%9F_%D7%94%D7%A8%D7%91%D7%99%D7%A2%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
baldwin-v,Baldwin V,the child king,Houses of Anjou & Montferrat,King of Jerusalem,1185,1186,Baldwin IV,Sibylla & Guy,Baldwin_V_of_Jerusalem.jpg,https://en.wikipedia.org/wiki/Baldwin_V_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%91%D7%9C%D7%93%D7%95%D7%95%D7%99%D7%9F_%D7%94%D7%97%D7%9E%D7%99%D7%A9%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
sibylla,Sibylla,Queen regnant of Jerusalem,House of Anjou,Queen of Jerusalem,1186,1190,Baldwin V,Isabella I,Queen_Sibyl_of_Jerusalem.jpg,https://en.wikipedia.org/wiki/Sibylla%2C_Queen_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%A1%D7%99%D7%91%D7%99%D7%9C%D7%94,_%D7%9E%D7%9C%D7%9B%D7%AA_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
guy-of-lusignan,Guy of Lusignan,the king of the disaster,House of Lusignan,King of Jerusalem,1186,1192,Baldwin V,Conrad of Montferrat,Coin_issued_by_Guy_de_Lusignan_during_when_he_was_Lord_of_Cyprus_(Crop).png,https://en.wikipedia.org/wiki/Guy_of_Lusignan,https://he.wikipedia.org/wiki/%D7%92%D7%99_%D7%93%D7%94_%D7%9C%D7%99%D7%96%D7%99%D7%A0%D7%99%D7%90%D7%9F
isabella-i,Isabella I,queen of four husbands,House of Anjou,Queen of Jerusalem,1190,1205,Sibylla,Maria of Montferrat,Isabella_I_of_Jerusalem.jpeg,https://en.wikipedia.org/wiki/Isabella_I_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%96%D7%91%D7%9C_%D7%94%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%94,_%D7%9E%D7%9C%D7%9B%D7%AA_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
conrad-of-montferrat,Conrad of Montferrat,defender of Tyre,House of Montferrat,King-elect of Jerusalem,1192,1192,Guy of Lusignan,Henry II of Champagne,IsabelaKOnrad.jpg,https://en.wikipedia.org/wiki/Conrad_of_Montferrat,https://he.wikipedia.org/wiki/%D7%A7%D7%95%D7%A0%D7%A8%D7%93_%D7%9E%D7%9E%D7%95%D7%A0%D7%A4%D7%A8%D7%90%D7%98%D7%95
henry-ii-champagne,Henry II of Champagne,Lord of the Kingdom of Jerusalem,House of Blois-Champagne,Lord of the Kingdom of Jerusalem,1192,1197,Conrad of Montferrat,Aimery of Lusignan,Henry_2_of_Champagne.jpg,https://en.wikipedia.org/wiki/Henry_II%2C_Count_of_Champagne,"https://he.wikipedia.org/wiki/%D7%90%D7%A0%D7%A8%D7%99_%D7%94%D7%A9%D7%A0%D7%99,_%D7%A8%D7%95%D7%96%D7%9F_%D7%A9%D7%9E%D7%A4%D7%90%D7%9F"
aimery,Aimery of Lusignan,king of two crowns,House of Lusignan,King of Jerusalem & Cyprus,1197,1205,Henry II of Champagne,Maria of Montferrat,Aimery_II_de_Lusignan.png,https://en.wikipedia.org/wiki/Aimery_of_Cyprus,"https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%9C%D7%A8%D7%99%D7%9A_%D7%94%D7%A9%D7%A0%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
maria-of-montferrat,Maria of Montferrat,la Marquise,House of Montferrat,Queen of Jerusalem,1205,1212,Isabella I,Isabella II,Marie_de_Montferrat.jpg,https://en.wikipedia.org/wiki/Maria_of_Montferrat,https://he.wikipedia.org/wiki/%D7%9E%D7%A8%D7%99%D7%94_%D7%9E%D7%9E%D7%95%D7%A0%D7%A4%D7%A8%D7%90%D7%98%D7%95
john-of-brienne,John of Brienne,the soldier-king,House of Brienne,King of Jerusalem,1210,1225,Maria of Montferrat,Frederick II,Jean_de_Brienne.jpg,https://en.wikipedia.org/wiki/John_of_Brienne,https://he.wikipedia.org/wiki/%D7%96%27%D7%90%D7%9F_%D7%93%D7%94_%D7%91%D7%A8%D7%99%D7%99%D7%9F
isabella-ii,Isabella II,Yolande of Jerusalem,House of Brienne,Queen of Jerusalem,1212,1228,Maria of Montferrat,Conrad II,Yolande_of_Jerusalem.jpg,https://en.wikipedia.org/wiki/Isabella_II_of_Jerusalem,"https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%96%D7%91%D7%9C_%D7%94%D7%A9%D7%A0%D7%99%D7%99%D7%94,_%D7%9E%D7%9C%D7%9B%D7%AA_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
frederick-ii,Frederick II,Stupor Mundi,House of Hohenstaufen,King of Jerusalem & Holy Roman Emperor,1225,1228,John of Brienne,Conrad II,Frederick_II_and_eagle.jpg,https://en.wikipedia.org/wiki/Frederick_II%2C_Holy_Roman_Emperor,"https://he.wikipedia.org/wiki/%D7%A4%D7%A8%D7%99%D7%93%D7%A8%D7%99%D7%9A_%D7%94%D7%A9%D7%A0%D7%99,_%D7%A7%D7%99%D7%A1%D7%A8_%D7%94%D7%90%D7%99%D7%9E%D7%A4%D7%A8%D7%99%D7%94_%D7%94%D7%A8%D7%95%D7%9E%D7%99%D7%AA_%D7%94%D7%A7%D7%93%D7%95%D7%A9%D7%94"
conrad-ii,Conrad II,Conrad IV of Germany,House of Hohenstaufen,King of Jerusalem,1228,1254,Frederick II,Conradin,Conrad_4_of_Germany.jpg,https://en.wikipedia.org/wiki/Conrad_IV_of_Germany,"https://he.wikipedia.org/wiki/%D7%A7%D7%95%D7%A0%D7%A8%D7%90%D7%93_%D7%94%D7%A8%D7%91%D7%99%D7%A2%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%92%D7%A8%D7%9E%D7%A0%D7%99%D7%94"
conradin,Conradin,the last Hohenstaufen,House of Hohenstaufen,King of Jerusalem,1254,1268,Conrad II,Hugh I,Konradin.jpg,https://en.wikipedia.org/wiki/Conradin,"https://he.wikipedia.org/wiki/%D7%A7%D7%95%D7%A0%D7%A8%D7%90%D7%93_%D7%94%D7%A9%D7%9C%D7%99%D7%A9%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
hugh-i,Hugh I,"Hugh III of Cyprus, “the Great”",House of Lusignan,King of Jerusalem & Cyprus,1268,1284,Conradin,John II,https://upload.wikimedia.org/wikipedia/commons/2/2b/HugoIIIdenario.jpg,https://en.wikipedia.org/wiki/Hugh_III_of_Cyprus,"https://he.wikipedia.org/wiki/%D7%94%D7%95%D7%92%D7%95_%D7%94%D7%A9%D7%9C%D7%99%D7%A9%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%A7%D7%A4%D7%A8%D7%99%D7%A1%D7%99%D7%9F"
john-ii,John II,John I of Cyprus,House of Lusignan,King of Jerusalem & Cyprus,1284,1285,Hugh I,Henry II,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Armoiries_Chypre_J%C3%A9rusalem.svg/960px-Armoiries_Chypre_J%C3%A9rusalem.svg.png,https://en.wikipedia.org/wiki/John_I_of_Cyprus,"https://he.wikipedia.org/wiki/%D7%96%27%D7%90%D7%9F_%D7%94%D7%A9%D7%A0%D7%99,_%D7%9E%D7%9C%D7%9A_%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D"
henry-ii,Henry II,the last crowned king,House of Lusignan,King of Jerusalem & Cyprus,1285,1291,John II,,Silver_coin_of_King_Henry_II_of_Jerusalem_(1310-1324).jpg,https://en.wikipedia.org/wiki/Henry_II_of_Cyprus,
